map_id,identification_layer,source_inventory_label,title,year,journal,doi,design,domain,published_only_included,comparative_map_status,bibliographic_resolution,eligibility_note,source_synthesis,source_synthesis_effect_records,deep_participant_analysis,participant_data_status,duplicate_doi_group
U14,2024-2026 published update/cross-check,Barcaui (2025),ChatGPT as a cognitive crutch: Evidence from a randomized controlled trial on knowledge retention,2025,Social Sciences & Humanities Open,10.1016/j.ssaho.2025.102287,randomized controlled trial,higher-education AI knowledge retention,yes,included,resolved,Primary report verified; surprise knowledge-retention test 45 days after AI-assisted versus traditional study.,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U15,2024-2026 published update/cross-check,Sezgunsay et al. (2026),"Integrating ChatGPT into nursing education: a randomized trial exploring knowledge, retention, and student perspectives on endotracheal suctioning",2026,BMC Medical Education,10.1186/s12909-026-09483-2,pilot parallel-group randomized controlled trial,nursing knowledge / retention,yes,included,resolved,Primary report verified; immediate and six-week knowledge tests; follow-up explicitly instructed independent without external assistance.,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,author on reasonable request; not required for map,
U16,2024-2026 published update/cross-check,Stadler et al. (2024),Cognitive ease at a cost: LLMs reduce mental effort but compromise depth in student scientific inquiry,2024,Computers in Human Behavior,10.1016/j.chb.2024.108386,randomized experiment,scientific inquiry / reasoning,yes,included,resolved,Primary report verified; ChatGPT 3.5 versus Google during scientific inquiry.,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,OSF reported; not required for map,
U17,2024-2026 published update/cross-check,Başaran & Duru (2024),The Impact of Kahoot and ChatGPT Educational Technologies on Nursing Students’ Sexual Health Knowledge and Attitudes: A Quasi-Experimental Study,2024,Sexuality and Disability,10.1007/s11195-024-09873-8,quasi-experimental comparative study,nursing sexual-health knowledge / retention,yes,included,resolved,"Primary report verified; ChatGPT, Kahoot, and traditional groups with repeated follow-up knowledge measurement.",contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U18,2026-08-17 targeted Scopus coverage verification,Kazemitabaar et al. (2025),Exploring the Design Space of Cognitive Engagement Techniques with AI-Generated Code for Enhanced Learning,2025,Proceedings of IUI 2025,10.1145/3708359.3712104,randomized between-subjects study plus follow-up design study,programming education,yes,included,full-text verified,AI-supported learning conditions followed by scored manual isomorphic coding tasks without AI assistance.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U19,2026-08-17 targeted Scopus coverage verification,Elshall et al. (2026),AI-affordance alignment drives authentic learning gains without foundational erosion: a quasi-experimental pilot study from an environmental data science course,2026,Frontiers in Education,10.3389/feduc.2026.1834090,quasi-experimental cohort comparison,environmental data science,yes,included,full-text verified,Comparative cohorts include AI-supported authentic performance and explicitly AI-free foundational/conceptual assessment.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U20,2026-08-17 targeted Scopus coverage verification,Ates (2026),"Human-centered GenAI feedback design in higher education: a multisite experiment on direct, reflective, and hybrid approaches to scientific argumentation",2026,International Journal of Educational Technology in Higher Education,10.1186/s41239-026-00614-9,multisite cluster-randomized longitudinal field experiment,scientific argumentation,yes,included,full-text verified,Four feedback conditions with immediate revision outcomes and delayed AI-free transfer; analytic N=1176.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U21,2026-08-17 targeted Scopus coverage verification,Baltà-Salvador et al. (2026),Evaluating AI-assisted creative ideation: A crossover study in higher education,2026,Thinking Skills and Creativity,10.1016/j.tsc.2025.101958,randomized crossover experiment,design creativity,yes,included,full-text verified,Randomized task order creates directly observed AI-assisted and unaided creative-ideation regimes; interpretation is task/order-specific rather than an AI-withdrawal causal effect.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U22,2026-08-17 targeted Scopus coverage verification,Li et al. (2025),When AI explains in natural language: Unveiling the impact of generative AI explanations on educators’ grading and feedback practices,2025,Education and Information Technologies,10.1007/s10639-025-13741-z,randomized three-condition experiment with later no-AI phase,educator grading and feedback,yes,included,full-text verified,"Participants were randomly allocated to no-AI, traditional-AI, or GenAI explanations; later phase removed AI-powered insights for all groups.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U23,2026-08-17 targeted Scopus coverage verification,Park et al. (2025),Evaluating the Impact of Assistive AI Tools on Learning Outcomes and Ethical Considerations in Programming Education,2025,2025 IEEE Global Engineering Education Conference (EDUCON),10.1109/EDUCON62633.2025.11016517,within-subject experimental study,C programming education,yes,included,full-text verified,"Explicit AI-assisted and independent tasks; independent assessments blocked internet, IDE, and Copilot. Design-description ambiguity is retained as a caveat.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U24,2026-08-17 targeted Scopus coverage verification,Chakraborty (2026),Effect of Using Generative Artificial Intelligence in Different Roles in a Course on Computer Programming,2026,Computer Applications in Engineering Education,10.1002/cae.70223,four experiments including randomized assisted-to-withdrawal comparison,programming education,yes,included,full-text verified,"In Experiment 2, randomized groups differ strongly while AI is available; the between-group difference disappears on the subsequent part after AI withdrawal.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U25,2026-08-17 targeted Scopus coverage verification,Chandrasekera et al. (2025),Can artificial intelligence support creativity in early design processes?,2025,International Journal of Architectural Computing,10.1177/14780771241254637,two-phase quasi-experimental study with randomized group assignment,design creativity,yes,included,full-text verified,Randomized groups perform one AI-differentiated design task followed by a similar design task without AI for both groups; advantage persists on the unaided task.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U26,2026-08-17 targeted Scopus coverage verification,Shaikh et al. (2024),Rehearsal: Simulating Conflict to Teach Conflict Resolution,2024,Proceedings of CHI 2024,10.1145/3613904.3642159,randomized between-subjects training experiment,conflict resolution training,yes,included,full-text verified,Randomized LLM rehearsal versus standard training followed by blinded evaluation of human conflict performance without the rehearsal system.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U27,2026-08-17 targeted Scopus coverage verification,Guo et al. (2024),Effects of an AI-supported approach to peer feedback on university EFL students’ feedback quality and writing ability,2024,The Internet and Higher Education,10.1016/j.iheduc.2024.100962,quasi-experimental comparative study,EFL peer feedback and writing,yes,included,full-text verified,AI-supported feedback intervention followed by supervised posttests in a designated laboratory; personal computers and external resources were not available.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U28,2026-08-17 targeted Scopus coverage verification,Bangerl et al. (2025),CreAItive Collaboration? Users’ Misjudgment of AI-Creativity Affects Their Collaborative Performance,2025,Proceedings of CHI 2025,10.1145/3706598.3713886,randomized dyadic AI-versus-control experiment with unaided follow-ups,creativity / HCI,yes,included,full-text verified,AI-versus-control collaboration followed by individual unaided posttest and three-week unaided retention posttest.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U29,2026-08-17 targeted Scopus coverage verification,Lin et al. (2026),Beyond the Veneer of Competence: How Structured Prompting Fosters Knowledge Transfer in LLM-Augmented Education,2026,Proceedings of IAIT 2026,10.1145/3816713.3816741,comparative course-section study,LLM-augmented education / knowledge transfer,yes,included,full-text verified,Course sections used different instruction; AI-supported assessments were followed by a proctored paper-based final examination without AI.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U30,2026-08-17 targeted Scopus coverage verification,Kumaradasa et al. (2026),Assessing the Effectiveness of Generative AI in Undergraduate Academic Writing,2026,2026 IEEE International Research Conference on Smart Computing and Systems Engineering,10.1109/SCSE70081.2026.11499961,single-group repeated-measures study,academic writing,no,contextual_noncomparative,full-text verified contextual,"Clear assisted-to-unassisted sequence, but no concurrent comparator for a treatment-effect estimand.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U31,2026-08-17 targeted Scopus coverage verification,Elshall & Badir (2025),Balancing AI-assisted learning and traditional assessment: the FACT assessment in environmental data science education,2025,Frontiers in Education,10.3389/feduc.2025.1596462,single-course assessment implementation without control group,environmental data science assessment,no,contextual_noncomparative,full-text verified contextual,"The design deliberately combines AI-assisted and AI-free assessment, but lacks a comparator for causal treatment-effect pairing.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U32,2026-08-17 targeted Scopus coverage verification,Rani et al. (2026),Dialogues with AI Reduce Beliefs in Misinformation but Build No Lasting Discernment Skills,2026,ACM proceedings,10.1145/3772318.3790656,month-long repeated-measures human-AI study,misinformation discernment,no,contextual_noncomparative,full-text verified contextual,"Clear AI-assisted and subsequent unassisted phases, but the main longitudinal sequence is not a randomized no-AI exposure contrast for a treatment-effect estimate.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U33,2026-08-17 targeted Scopus coverage verification,Tran-Le et al. (2026),How Does LLM-powered Coding Assistance Shape Incidental Learning? Exploring Cognitive Forcing Strategies in Programming Education,2026,Proceedings of AAAI 2026,,pilot repeated-measures study,programming education,no,contextual_noncomparative,full-text verified contextual,"Clear assisted-to-unassisted sequence, but the pilot is not a randomized comparative treatment-effect design.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U34,2026-08-17 targeted Scopus coverage verification,Prasodjo et al. (2026),Google Gemini-assisted writing and lexical appropriateness in EFL Paragraph Writing: Evidence of stability across tasks,2026,English Language Teaching Educational Journal,10.12928/eltej.v9i1.15214,one-group repeated-measures classroom study,EFL writing,no,contextual_noncomparative,full-text verified contextual,"Explicit delayed AI-free assessment, but no independent control group.",targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
U35,2026-08-17 targeted Scopus coverage verification,Li & Chen (2026),Delegating Thought to Gen-AI: How Task Complexity and AI Recommendations Shape Decision Quality and Memory Outcomes,2026,Artificial Intelligence in HCI,10.1007/978-3-032-30860-3_29,randomized 2x2 between-subject experiment,decision quality and memory,no,contextual_noncomparative,full-text verified contextual,Randomized AI manipulation followed by unaided factual recall; the later endpoint is an internal-memory outcome rather than repetition/transfer of the task-performance construct.,targeted Scopus TITLE-ABS-KEY coverage-verification search; search date 2026-08-17; n=42,,no,not required for coverage map,
W01,Wu2026 systematic-core inventory,"Wang, Z et al.(2023)",Impact of ChatGPT-based reading platforms on the academic reading ability of graduate students,2023,Open Education Research,10.13966/j.cnki.kfjyyj.2023.06.007,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,5,no,not required for evidence-map inclusion,
W02,Wu2026 systematic-core inventory,"Wang, L et al.(2023)",,2023,,,experimental/quasi-experimental as classified by source synthesis,,no,excluded,unresolved_from_synthesis_label,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,5,no,not required for evidence-map inclusion,
W03,Wu2026 systematic-core inventory,Zheng et al.(2024),Can chatbots based on generative artificial intelligence facilitate online collaborative learning performance?,2024,e-Education Research,10.13811/j.cnki.eer.2024.03.010,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,4,no,not required for evidence-map inclusion,
W04,Wu2026 systematic-core inventory,Li and Wang (2023a),Human–computer collaborative deep exploratory teaching mode: taking the human–computer collaborative exploratory learning system developed based on ChatGPT and QQ as an example,2023,Open Education Research,10.13966/j.cnki.kfjyyj.2023.06.008,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved_as_within_report_study_unit,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,5,no,not required for evidence-map inclusion,W04;W05
W05,Wu2026 systematic-core inventory,Li and Wang (2023b),Human–computer collaborative deep exploratory teaching mode: taking the human–computer collaborative exploratory learning system developed based on ChatGPT and QQ as an example,2023,Open Education Research,10.13966/j.cnki.kfjyyj.2023.06.008,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved_as_within_report_study_unit,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,8,no,not required for evidence-map inclusion,W04;W05
W06,Wu2026 systematic-core inventory,Li (2023),Effects of a ChatGPT-based flipped learning guiding approach on learners’ courseware project performances and perceptions,2023,Australasian Journal of Educational Technology,10.14742/ajet.8923,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,7,no,not required for evidence-map inclusion,
W07,Wu2026 systematic-core inventory,Mahapatra(2024),Impact of ChatGPT on ESL students’ academic writing skills: a mixed methods intervention study,2024,Smart Learning Environments,10.1186/s40561-024-00295-9,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W08,Wu2026 systematic-core inventory,Alneyadi and Wardat(2023),ChatGPT: Revolutionizing student achievement in the electronic magnetism unit for eleventh-grade students in Emirates schools,2023,Contemporary Educational Technology,10.30935/cedtech/13417,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,4,no,not required for evidence-map inclusion,
W09,Wu2026 systematic-core inventory,Kim and Lee(2023),"The effect of voice-enabled ChatGPT on speaking proficiency, affective and metacognitive domains of Korean EFL learners",2023,Journal of Research in Curriculum & Instruction,10.24231/rici.2023.27.4.344,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,5,no,not required for evidence-map inclusion,
W10,Wu2026 systematic-core inventory,Urban et al.(2024),ChatGPT improves creative problem-solving performance in university students: an experimental study,2024,Computers & Education,10.1016/j.compedu.2024.105031,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,3,no,not required for evidence-map inclusion,
W11,Wu2026 systematic-core inventory,Guo et al.(2023),,2023,,,experimental/quasi-experimental as classified by source synthesis,,no,excluded,unresolved_from_synthesis_label,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,7,no,not required for evidence-map inclusion,
W12,Wu2026 systematic-core inventory,Yilmaz and Yilmaz(2023),"The effect of generative artificial intelligence (AI)-based tool use on students’ computational thinking skills, programming self-efficacy and motivation",2023,Computers and Education: Artificial Intelligence,10.1016/j.caeai.2023.100147,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,7,no,not required for evidence-map inclusion,
W13,Wu2026 systematic-core inventory,Kosar et al.(2024),Computer science education in ChatGPT era: experiences from an experiment in a programming course for novice programmers,2024,Mathematics,10.3390/math12050629,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,3,no,not required for evidence-map inclusion,
W14,Wu2026 systematic-core inventory,Chang et al.(2024),Facilitating nursing and health education by incorporating ChatGPT into learning designs,2024,Educational Technology & Society,10.30191/ETS.202401_27(1).TP02,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,3,no,not required for evidence-map inclusion,
W15,Wu2026 systematic-core inventory,Bachiri et al.(2023),Artificial intelligence empowers gamification: optimizing student engagement and learning outcomes in e-learning and MOOCs,2023,International Journal of Engineering Pedagogy,10.3991/ijep.v13i8.40853,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W16,Wu2026 systematic-core inventory,Escalante et al. (2023),AI-generated feedback on writing: insights into efficacy and ENL student preference,2023,International Journal of Educational Technology in Higher Education,10.1186/s41239-023-00425-2,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W17,Wu2026 systematic-core inventory,"Lee, H. Y. et al.(2024)","Empowering ChatGPT with guidance mechanism in blended learning: effect of self-regulated learning, higher-order thinking skills, and knowledge construction",2024,International Journal of Educational Technology in Higher Education,10.1186/s41239-024-00447-4,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,9,no,not required for evidence-map inclusion,
W18,Wu2026 systematic-core inventory,Kavadella et al. (2024),Evaluation of ChatGPT’s real-life implementation in undergraduate dental education: mixed methods study,2024,JMIR Medical Education,10.2196/51344,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W19,Wu2026 systematic-core inventory,Chen et al.(2023),Exploring the Benefits of Chatbots Game-based Learning in Science Learning Outcomes and Motivation,2023,International Conference on Computers in Education,10.58459/icce.2023.1418,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,4,no,not required for evidence-map inclusion,
W20,Wu2026 systematic-core inventory,Pellas(2023),The effects of generative AI platforms on undergraduates’ narrative intelligence and writing self-efficacy,2023,Education Sciences,10.3390/educsci13111155,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,5,no,not required for evidence-map inclusion,
W21,Wu2026 systematic-core inventory,"Wu, J et al.(2024)",An empirical study on empowering oral teaching with AIGC,2024,China Educational Technology,10.3969/j.issn.1006-9860.2024.04.014,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,13,no,not required for evidence-map inclusion,
W22,Wu2026 systematic-core inventory,Luo et al.(2024),Generative AI-supported teacher comments: an empirical study based on junior high school mathematics classrooms,2024,e-Education Research,10.13811/j.cnki.eer.2024.05.008,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,2,no,not required for evidence-map inclusion,
W23,Wu2026 systematic-core inventory,Boudouaia et al.(2024),A Study on ChatGPT-4 as an Innovative Approach to Enhancing EFL Writing Learning,2024,Journal of Educational Computing Research,10.1177/07356331241247465,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W24,Wu2026 systematic-core inventory,Shoufan(2023),Can students without prior knowledge use ChatGPT to answer test questions? An empirical study,2023,ACM Transactions on Computing Education,10.1145/3628162,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W25,Wu2026 systematic-core inventory,"Wu, T et al.(2023)",Promoting self-regulation progress and knowledge construction in blended learning via ChatGPT-based learning aid,2024,Journal of Educational Computing Research,10.1177/07356331231191125,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,6,no,not required for evidence-map inclusion,
W26,Wu2026 systematic-core inventory,Zhou et al.(2024),Innovative music education: an empirical assessment of ChatGPT-4’s impact on student learning experiences,2024,Education and Information Technologies,10.1007/s10639-024-12705-z,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W27,Wu2026 systematic-core inventory,"Sun, D et al.(2024)","Would ChatGPT-facilitated programming mode impact college students’ programming behaviors, performances, and perceptions? An empirical study",2024,International Journal of Educational Technology in Higher Education,10.1186/s41239-024-00446-5,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W28,Wu2026 systematic-core inventory,Song and Song(2023),Enhancing academic writing skills and motivation: assessing the efficacy of ChatGPT in AI-assisted language learning for EFL students,2023,Frontiers in Psychology,10.3389/fpsyg.2023.1260843,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,2,no,not required for evidence-map inclusion,
W29,Wu2026 systematic-core inventory,Zhu et al.(2023),Embrace opportunities and face challenges: using ChatGPT in undergraduate students’ collaborative interdisciplinary learning,2023,Preprint,,experimental/quasi-experimental as classified by source synthesis,,no,excluded,preprint_excluded_from_published_map,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,6,no,not required for evidence-map inclusion,
W30,Wu2026 systematic-core inventory,Karaman(2024),Are lesson plans created by ChatGPT More Effective? An experimental study,2024,International Journal of Technology in Education,10.46328/ijte.607,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W31,Wu2026 systematic-core inventory,Hakiki et al.(2023) ,Exploring the impact of using Chat-GPT on student learning outcomes in technology learning: the comprehensive experiment,2023,Advanced Mobile Learning Educational Research,10.25082/amler.2023.02.013,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
W32,Wu2026 systematic-core inventory,Alneyadi and Wardat (2024),Integrating ChatGPT in Grade 12 Quantum Theory Education: An Exploratory Study at Emirate School (UAE),2024,International Journal of Information and Education Technology,10.18178/ijiet.2024.14.3.2061,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,4,no,not required for evidence-map inclusion,
W33,Wu2026 systematic-core inventory,Essel et al.(2023),ChatGPT effects on cognitive skills of undergraduate students: receiving instant responses from AI-based conversational large language models (LLMs),2024,Computers and Education: Artificial Intelligence,10.1016/j.caeai.2023.100198,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,3,no,not required for evidence-map inclusion,
W34,Wu2026 systematic-core inventory,Yildiz (2023),The Impact of ChatGPT on Language Learners’ Motivation,2023,Journal of Teacher Education and Lifelong Learning,10.51535/tell.1314355,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,3,no,not required for evidence-map inclusion,
W35,Wu2026 systematic-core inventory,"Wang, M et al.(2024)",Unleashing ChatGPT's power: A case study on optimizing information retrieval in flipped classrooms via prompt engineering,2024,IEEE Transactions on Learning Technologies,10.1109/TLT.2023.3324714,experimental/quasi-experimental as classified by source synthesis,,yes,included,resolved,,Wu et al. 2026; DOI 10.1057/s41599-026-07019-z,1,no,not required for evidence-map inclusion,
