outcome_id,study,doi,outcome,assessment_stage,ai_availability_at_assessment,assessment_delay,task_item_overlap,transfer_demand,evidence_scope_ai_nonuse,defensible_score_interpretation,coding_source,coding_depth,coding_status,derived_effect_std,derived_ci_low,derived_ci_high,notes,evidence_map_scope,source_url,verification_note
O015,Kestin et al. (2025),10.1038/s41598-025-97652-6,physics post-test,post-assistance,removed,immediate post-instruction,topic-specific post-test,near transfer / topic assessment,AI tutor unavailable during scored post-test,independent post-instruction physics performance,article + reduced public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,positive contrasting case,primary-source-verified coding subset,https://doi.org/10.1038/s41598-025-97652-6,
O016,Pardos & Bhandari (2024),10.1371/journal.pone.0304013,mathematics post-test,post-assistance,removed,immediate post-assistance,same three items repeated from pretest,repeated-item; no novel transfer,hints unavailable during post-test,independent repeated-item post-assistance performance,article + Figshare data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,statistical robustness does not imply transfer,primary-source-verified coding subset,https://doi.org/10.1371/journal.pone.0304013,
O017,Çiçek et al. (2025),10.1093/postmj/qgae170,clinical-reasoning immediate test,post-feedback,removed,immediate,clinical-reasoning assessment,task-level generalization,no construct-relevant GenAI during test,independent clinical-reasoning performance,article + Zenodo data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,AI-generated vs expert feedback,primary-source-verified coding subset,https://doi.org/10.1093/postmj/qgae170,
O018,Çiçek et al. (2025),10.1093/postmj/qgae170,clinical-reasoning 10-day test,delayed post-feedback,removed,10 days,follow-up clinical-reasoning assessment,delayed performance / retention-related,no construct-relevant GenAI during test,delayed independent clinical-reasoning performance,article + Zenodo data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,retention interpretation remains measurement-dependent,primary-source-verified coding subset,https://doi.org/10.1093/postmj/qgae170,
O019,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,novelty Days 2–6,assisted,available,concurrent,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O020,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,usefulness Days 2–6,assisted,available,concurrent,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O021,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,flexibility Days 2–6,assisted,available,concurrent,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O022,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,novelty Day 7,post-assistance,removed,next assessment after assisted period,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O023,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,usefulness Day 7,post-assistance,removed,next assessment after assisted period,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O024,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,flexibility Day 7,post-assistance,removed,next assessment after assisted period,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O025,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,novelty Day 30,delayed follow-up,removed,approximately 23 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O026,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,usefulness Day 30,delayed follow-up,removed,approximately 23 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O027,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,flexibility Day 30,delayed follow-up,removed,approximately 23 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O028,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,novelty Day 60,delayed follow-up,removed,approximately 53 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O029,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,usefulness Day 60,delayed follow-up,removed,approximately 53 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O030,Zhou et al. (2026),10.1016/j.techsoc.2025.103087,flexibility Day 60,delayed follow-up,removed,approximately 53 days after Day 7,different creative prompts/objects across time,longitudinal creative performance; prompt-dependent,AI removed at Days 7/30/60; assisted Days 2–6,assessment-regime-specific creative performance,article + author-approved OSF Study 2,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,restricted raw data not redistributed,primary-source-verified coding subset,https://doi.org/10.1016/j.techsoc.2025.103087,
O031,Fan et al. (2025),10.1111/bjet.13544,essay score improvement,assisted,available,concurrent,writing task supported by assigned agent,none for same scored writing task,not applicable for assisted outcome,joint human–AI/human-support writing performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,"ChatGPT group improved essay performance; treatment arms also included human expert, writing analytics and no extra tool.",primary-source-verified coding subset,https://doi.org/10.1111/bjet.13544,primary-report verified
O032,Fan et al. (2025),10.1111/bjet.13544,knowledge gain,post-assistance,unclear,post-task,knowledge assessment distinct from supported essay task,knowledge acquisition / generalization,no dedicated AI non-use verification identified in inspected report,post-task knowledge performance under incompletely specified assistance conditions,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,The report states no significant group difference in knowledge gain; assessment-time AI availability was not explicit enough for stronger coding.,primary-source-verified coding subset,https://doi.org/10.1111/bjet.13544,primary-report verified
O033,Fan et al. (2025),10.1111/bjet.13544,transfer performance,post-assistance,unclear,post-task,new transfer task,transfer,no dedicated AI non-use verification identified in inspected report,transfer performance under incompletely specified assistance conditions,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,The report states no significant group difference in transfer; coded conservatively because assessment-time AI access was not explicit enough for stronger inference.,primary-source-verified coding subset,https://doi.org/10.1111/bjet.13544,primary-report verified
O034,Fütterer et al. (2026),10.1007/s10648-026-10133-8,domain-specific knowledge at T2,post-assistance,removed/no construct-relevant chatbot described,immediate posttest after four learning sessions,same knowledge instrument family; exact item novelty not established here,knowledge performance; retention not implied by immediate timing,separate posttest session; explicit external-tool verification not reported,immediate independent knowledge-test performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,RCT: all arms used GPT during learning but pedagogical prompting differed.,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10133-8,primary-report verified
O035,Fütterer et al. (2026),10.1007/s10648-026-10133-8,performance-based learning-by-explaining strategy test at T2,post-assistance,removed/no construct-relevant chatbot described,immediate posttest,performance test distinct from chatbot dialogue,near transfer of learning strategy,separate posttest session; explicit external-tool verification not reported,independent strategy-performance test,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Performance-based outcome retained; self-report outcomes are not used for the main map illustration.,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10133-8,primary-report verified
O036,Barcaui (2025),10.1016/j.ssaho.2025.102287,surprise knowledge-retention test,post-assistance,unclear,45 days,retention test; exact item overlap not reported in accessible primary record,retention-related,surprise test; explicit AI non-use prevention/verification not identified,45-day knowledge-retention performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized AI-assisted versus traditional study; conservative availability coding avoids assuming tool prohibition.,primary-source-verified coding subset,https://doi.org/10.1016/j.ssaho.2025.102287,primary-report verified
O037,Sezgunsay et al. (2026),10.1186/s12909-026-09483-2,immediate Suctioning Knowledge Questionnaire posttest,post-assistance,unclear,immediate,same structured knowledge questionnaire as baseline,repeated knowledge assessment,separate posttest; external-assistance prohibition not explicitly reported for immediate test,immediate post-intervention knowledge performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Same SKQ administered before and immediately after the educational session.,primary-source-verified coding subset,https://doi.org/10.1186/s12909-026-09483-2,primary-report verified
O038,Sezgunsay et al. (2026),10.1186/s12909-026-09483-2,six-week Suctioning Knowledge Questionnaire follow-up,post-assistance,removed,6 weeks,same structured knowledge questionnaire,retention-related; repeated instrument,participants explicitly instructed to complete independently without external assistance,six-week independently completed retention-test performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Strong non-use evidence relative to most mapped studies; same SKQ limits novel-item transfer interpretation.,primary-source-verified coding subset,https://doi.org/10.1186/s12909-026-09483-2,primary-report verified
O039,Urban et al. (2024),10.1016/j.compedu.2024.105031,creative problem-solution quality,assisted,available,concurrent,same creative problem-solving task,none; same assisted task,not applicable,joint human–AI creative problem-solving performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized ChatGPT versus no-ChatGPT creative problem-solving experiment.,primary-source-verified coding subset,https://doi.org/10.1016/j.compedu.2024.105031,primary-report verified
O040,Urban et al. (2024),10.1016/j.compedu.2024.105031,creative problem-solution elaboration,assisted,available,concurrent,same creative problem-solving task,none; same assisted task,not applicable,joint human–AI creative problem-solving performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized ChatGPT versus no-ChatGPT creative problem-solving experiment.,primary-source-verified coding subset,https://doi.org/10.1016/j.compedu.2024.105031,primary-report verified
O041,Urban et al. (2024),10.1016/j.compedu.2024.105031,creative problem-solution originality,assisted,available,concurrent,same creative problem-solving task,none; same assisted task,not applicable,joint human–AI creative problem-solving performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized ChatGPT versus no-ChatGPT creative problem-solving experiment.,primary-source-verified coding subset,https://doi.org/10.1016/j.compedu.2024.105031,primary-report verified
O042,Stadler et al. (2024),10.1016/j.chb.2024.108386,quality of final recommendations,assisted,available,concurrent,same socio-scientific inquiry task,none; same assisted task,not applicable,human–tool scientific-inquiry performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized ChatGPT 3.5 versus Google information-gathering condition.,primary-source-verified coding subset,https://doi.org/10.1016/j.chb.2024.108386,primary-report verified
O043,Stadler et al. (2024),10.1016/j.chb.2024.108386,quality of justifications,assisted,available,concurrent,same socio-scientific inquiry task,none; same assisted task,not applicable,human–tool reasoning/argumentation performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Randomized ChatGPT 3.5 versus Google information-gathering condition.,primary-source-verified coding subset,https://doi.org/10.1016/j.chb.2024.108386,primary-report verified
O044,Gan et al. (2024),10.2196/57037,orthopedics MCQ examination,post-assistance,unclear,after 1-week AI/internet-supported review,orthopedics MCQs; relation to reviewed questions not fully specified for map coding,knowledge performance,scored test followed the study period; AI use during the scored examination was not explicitly verified in the inspected report,post-study orthopedics examination performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Control was prohibited from OpenAI during learning; ChatGPT group used ChatGPT for review.,primary-source-verified coding subset,https://doi.org/10.2196/57037,primary-report verified
O045,Gan et al. (2024),10.2196/57037,end-of-semester surgery examination,follow-up,unclear,end of semester,different clinical subject examination,cross-domain/generalization,"LLM use was followed after intervention, but scored-exam non-use was not explicitly verified",later surgery examination performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Academic-affairs exam score; not a clean retention test of the orthopedics content.,primary-source-verified coding subset,https://doi.org/10.2196/57037,primary-report verified
O046,Gan et al. (2024),10.2196/57037,end-of-semester obstetrics and gynecology examination,follow-up,unclear,end of semester,different clinical subject examination,cross-domain/generalization,"LLM use was followed after intervention, but scored-exam non-use was not explicitly verified",later obstetrics/gynecology examination performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Academic-affairs exam score; not a clean retention test of the orthopedics content.,primary-source-verified coding subset,https://doi.org/10.2196/57037,primary-report verified
O047,Lee et al. (2024),10.1186/s41239-024-00447-4,chemistry knowledge posttest,post-assistance,unclear,immediate posttest,20-item chemistry test; exact pre/post item overlap not established in inspected report,knowledge performance,formal test distinct from learning activities; explicit AI non-use verification not identified,post-intervention chemistry-test performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Guided ChatGPT versus traditional ChatGPT RCT.,primary-source-verified coding subset,https://doi.org/10.1186/s41239-024-00447-4,primary-report verified
O048,Lee et al. (2024),10.1186/s41239-024-00447-4,chemistry delayed knowledge test,follow-up,unclear,2 weeks,20-item chemistry delayed test; exact item novelty not established in inspected report,retention-related,formal delayed test; explicit AI non-use verification not identified,two-week chemistry-retention performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Delayed test occurred two weeks post-experimental activity.,primary-source-verified coding subset,https://doi.org/10.1186/s41239-024-00447-4,primary-report verified
O049,Li (2023),10.14742/ajet.8923,courseware project performance,assisted,available,during ChatGPT-based flipped-learning activity,courseware project completed within intervention context,none/embedded application,not applicable for assisted outcome,AI-supported courseware-project performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Quasi-experimental comparison of ChatGPT-FLGA versus flipped learning without the ChatGPT guidance approach.,primary-source-verified coding subset,https://doi.org/10.14742/ajet.8923,primary-report verified
O050,Arkan et al. (2025),10.1016/j.nedt.2025.106765,nursing-process competency posttest,post-assistance,unclear,immediate post-training,competency instrument; exact task overlap not established,competency-related,posttest tool-access conditions not explicit in accessible primary record,post-training nursing-process competency score,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Single-blind RCT; outcome appears scale/instrument based rather than an AI-assisted scored product.,primary-source-verified coding subset,https://doi.org/10.1016/j.nedt.2025.106765,primary-report verified
O051,Arkan et al. (2025),10.1016/j.nedt.2025.106765,problem-solving skills posttest,post-assistance,unclear,immediate post-training,problem-solving instrument; exact overlap not established,problem-solving-related,posttest tool-access conditions not explicit in accessible primary record,post-training problem-solving score,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Coded conservatively from the peer-reviewed primary report.,primary-source-verified coding subset,https://doi.org/10.1016/j.nedt.2025.106765,primary-report verified
O052,Başaran & Duru (2024),10.1007/s11195-024-09873-8,sexual-health knowledge follow-up,follow-up,unclear,1 month,same sexual-health knowledge instrument family,retention-related,online Google Forms; AI non-use prevention/verification not identified,one-month knowledge follow-up performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,"Quasi-experimental ChatGPT, Kahoot and traditional education groups.",primary-source-verified coding subset,https://doi.org/10.1007/s11195-024-09873-8,primary-report verified
O053,Başaran & Duru (2024),10.1007/s11195-024-09873-8,sexual-health knowledge follow-up,follow-up,unclear,3 months,same sexual-health knowledge instrument family,retention-related,online Google Forms; AI non-use prevention/verification not identified,three-month knowledge follow-up performance,primary peer-reviewed report,primary-report verified,author coding; no claim of human inter-rater validation,,,,Repeated-measures follow-up; intervention implementation details for ChatGPT were limited in the primary report.,primary-source-verified coding subset,https://doi.org/10.1007/s11195-024-09873-8,primary-report verified
O054,Guo et al. (2024),10.1016/j.iheduc.2024.100962,peer-feedback quality during supported intervention,assisted,available,concurrent,peer-feedback tasks repeated across intervention,none / practice performance,not applicable for assisted outcome,AI-supported peer-feedback performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1016/j.iheduc.2024.100962,full-text verified for targeted Scopus coverage update
O055,Guo et al. (2024),10.1016/j.iheduc.2024.100962,supervised posttest writing performance,post-assistance,removed,week 5 after weeks 2-4 intervention,new argumentative writing task,near transfer,designated laboratory; personal computers and external sources unavailable,independent post-intervention writing performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1016/j.iheduc.2024.100962,full-text verified for targeted Scopus coverage update
O056,Baltà-Salvador et al. (2026),10.1016/j.tsc.2025.101958,AI-assisted ideation,assisted,available,concurrent,one ideation prompt,none / joint human-AI creativity,not applicable,AI-assisted creative ideation,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1016/j.tsc.2025.101958,full-text verified for targeted Scopus coverage update
O057,Baltà-Salvador et al. (2026),10.1016/j.tsc.2025.101958,unaided ideation,independent/crossover,removed,immediate counterbalanced task,different ideation prompt,near creative transfer / order carryover,unaided condition explicitly reported,human creative performance under no-AI task condition,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,Task/order differs; not an isolated withdrawal effect.,primary-source-verified coding subset,https://doi.org/10.1016/j.tsc.2025.101958,full-text verified for targeted Scopus coverage update
O058,Bangerl et al. (2025),10.1145/3706598.3713886,collaborative Alternate Uses Test,assisted,available,concurrent,supported AUT prompt,none / joint creativity,not applicable,human-AI collaborative creative performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3706598.3713886,full-text verified for targeted Scopus coverage update
O059,Bangerl et al. (2025),10.1145/3706598.3713886,immediate individual AUT posttest,post-assistance,removed,immediate,new AUT prompt,creative transfer,explicitly unaided individual posttest,immediate independent creative performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3706598.3713886,full-text verified for targeted Scopus coverage update
O060,Bangerl et al. (2025),10.1145/3706598.3713886,three-week individual AUT posttest,delayed post-assistance,removed,three weeks,new AUT prompt,creative retention/transfer,explicitly unaided,delayed independent creative performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3706598.3713886,full-text verified for targeted Scopus coverage update
O061,Kazemitabaar et al. (2025),10.1145/3708359.3712104,AI-generated-code learning tasks,assisted,available,concurrent,supported programming examples,none / assisted learning activity,not applicable,AI-assisted programming-learning performance/process,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3708359.3712104,full-text verified for targeted Scopus coverage update
O062,Kazemitabaar et al. (2025),10.1145/3708359.3712104,manual isomorphic coding tasks,post-assistance,removed,immediate,isomorphic but new coding tasks,near transfer,tasks explicitly completed without AI assistance,independent programming transfer,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3708359.3712104,full-text verified for targeted Scopus coverage update
O063,Shaikh et al. (2024),10.1145/3613904.3642159,blinded human conflict performance,post-training,removed,after training,new real conflict interaction,behavioral transfer,rehearsal system absent from evaluation,independent conflict-resolution performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3613904.3642159,full-text verified for targeted Scopus coverage update
O064,Lin et al. (2026),10.1145/3816713.3816741,LLM-supported staged assessments,assisted,available,concurrent,course assessment tasks,none / assisted competence,not applicable,AI-assisted course performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3816713.3816741,full-text verified for targeted Scopus coverage update
O065,Lin et al. (2026),10.1145/3816713.3816741,proctored paper final examination,post-assistance,removed,course end,paper exam differs from supported assessments,knowledge transfer,proctored paper-based no-AI exam,independent examination performance,Scopus coverage full text; primary peer-reviewed report,primary-report verified,single-author coding; no inter-rater-validation claim,,,,,primary-source-verified coding subset,https://doi.org/10.1145/3816713.3816741,full-text verified for targeted Scopus coverage update
