synthesis,doi,reported_scope,dimension,dimension_name,verdict,audit_basis,reported_coding_or_moderator_fields,evidence_location,inference_boundary
Fan et al. 2026,10.3389/fpsyg.2026.1758670,36 studies / 132 effects,A,AI availability,no dedicated reported field identified,published methods/coding table + released 132-effect extraction table directly inspected,seven study-level moderators plus study quality,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Fan et al. 2026,10.3389/fpsyg.2026.1758670,36 studies / 132 effects,D,Delay,no dedicated reported field identified,published methods/coding table + released 132-effect extraction table directly inspected,seven study-level moderators plus study quality,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Fan et al. 2026,10.3389/fpsyg.2026.1758670,36 studies / 132 effects,O,Task/item overlap,no dedicated reported field identified,published methods/coding table + released 132-effect extraction table directly inspected,seven study-level moderators plus study quality,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Fan et al. 2026,10.3389/fpsyg.2026.1758670,36 studies / 132 effects,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding table + released 132-effect extraction table directly inspected,seven study-level moderators plus study quality,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Fan et al. 2026,10.3389/fpsyg.2026.1758670,36 studies / 132 effects,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding table + released 132-effect extraction table directly inspected,seven study-level moderators plus study quality,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Wu et al. 2026,10.1057/s41599-026-07019-z,35 studies / 134 effects,A,AI availability,no dedicated reported field identified,published methods/coding description + released study/effect inventory directly inspected,subject; experimental duration; educational level; instructional mode; knowledge type,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Wu et al. 2026,10.1057/s41599-026-07019-z,35 studies / 134 effects,D,Delay,no dedicated reported field identified,published methods/coding description + released study/effect inventory directly inspected,subject; experimental duration; educational level; instructional mode; knowledge type,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Wu et al. 2026,10.1057/s41599-026-07019-z,35 studies / 134 effects,O,Task/item overlap,no dedicated reported field identified,published methods/coding description + released study/effect inventory directly inspected,subject; experimental duration; educational level; instructional mode; knowledge type,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Wu et al. 2026,10.1057/s41599-026-07019-z,35 studies / 134 effects,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding description + released study/effect inventory directly inspected,subject; experimental duration; educational level; instructional mode; knowledge type,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Wu et al. 2026,10.1057/s41599-026-07019-z,35 studies / 134 effects,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding description + released study/effect inventory directly inspected,subject; experimental duration; educational level; instructional mode; knowledge type,released extraction/study table and published methods directly inspected; exact page is not used as the audit key,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Doo & Park 2026,10.19173/irrodl.v27i1.8775,22 publications,A,AI availability,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning achievement and subgroup/instructional characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Doo & Park 2026,10.19173/irrodl.v27i1.8775,22 publications,D,Delay,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning achievement and subgroup/instructional characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Doo & Park 2026,10.19173/irrodl.v27i1.8775,22 publications,O,Task/item overlap,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning achievement and subgroup/instructional characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Doo & Park 2026,10.19173/irrodl.v27i1.8775,22 publications,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning achievement and subgroup/instructional characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Doo & Park 2026,10.19173/irrodl.v27i1.8775,22 publications,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning achievement and subgroup/instructional characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Dong 2026,10.1057/s41599-026-06903-y,published meta-analysis,A,AI availability,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,outcome type; GenAI feedback; game-assisted GenAI; country; educational level,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Dong 2026,10.1057/s41599-026-06903-y,published meta-analysis,D,Delay,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,outcome type; GenAI feedback; game-assisted GenAI; country; educational level,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Dong 2026,10.1057/s41599-026-06903-y,published meta-analysis,O,Task/item overlap,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,outcome type; GenAI feedback; game-assisted GenAI; country; educational level,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Dong 2026,10.1057/s41599-026-06903-y,published meta-analysis,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,outcome type; GenAI feedback; game-assisted GenAI; country; educational level,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Dong 2026,10.1057/s41599-026-06903-y,published meta-analysis,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,outcome type; GenAI feedback; game-assisted GenAI; country; educational level,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
